bin,left,right,count,pred_mean,frac_pos
0,0.005378265097423898,0.031197463882155028,141,0.016830748106054918,0.014184397163120567
1,0.031197463882155028,0.07456644171130537,141,0.050668352541133506,0.02127659574468085
2,0.07456644171130537,0.1491713122578265,140,0.10766766745873922,0.04285714285714286
3,0.1491713122578265,0.2812012589444428,141,0.21123459911371234,0.10638297872340426
4,0.2812012589444428,0.4082703479117281,141,0.35096342582240353,0.20567375886524822
5,0.4082703479117281,0.54172677587093,140,0.4683095590071139,0.21428571428571427
6,0.54172677587093,0.6694944909564966,141,0.6069048783677272,0.28368794326241137
7,0.6694944909564966,0.766773797040521,140,0.720068131258073,0.45714285714285713
8,0.766773797040521,0.8365742854631866,141,0.8020953172605141,0.6170212765957447
9,0.8365742854631866,0.9389303846840907,141,0.8707601625879954,0.6950354609929078
